"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[h]"     
          0,           0,         267,      -14.01128679,      -14.44621234,       -15.0891228,      -14.90029456
          0,           0,         268,      -14.03344797,      -14.46844492,      -15.11118223,      -14.92185926
          0,           0,         269,      -14.05553916,      -14.49066106,      -15.13324028,      -14.94563974
          0,           0,         270,      -14.07773883,      -14.51259438,      -15.15559063,      -14.96583091
          0,           0,         271,      -14.09984264,      -14.53497764,      -15.17749209,      -14.98931846
          0,           0,         272,       -14.1219863,      -14.55695387,      -15.19979448,      -15.01133067
          0,           0,         273,      -14.14416551,      -14.57910678,      -15.22193304,      -15.03231704
          0,           0,         274,      -14.16625059,      -14.60139845,      -15.24392055,      -15.05635807
          0,           0,         275,      -14.18844594,      -14.62329955,      -15.26630103,      -15.07673335
          0,           0,         276,      -14.21056783,      -14.64566208,      -15.28822931,       -15.0996824
          0,           0,         277,      -14.23269284,        -14.667707,      -15.31046481,      -15.12234569
          0,           0,         278,      -14.25488611,      -14.68978276,      -15.33268003,      -15.14287753
          0,           0,         279,      -14.27697137,      -14.71212692,      -15.35461671,      -15.16697291
          0,           0,         280,      -14.29915594,      -14.73402658,      -15.37700036,      -15.18772302
          0,           0,         281,       -14.3212972,       -14.7563424,        -15.398982,      -15.21004672
          0,           0,         282,      -14.34340609,      -14.77846797,      -15.42113509,      -15.23330089
          0,           0,         283,      -14.36560837,      -14.80047066,      -15.44343007,      -15.25355596
          0,           0,         284,      -14.38770106,      -14.82284808,      -15.46533636,      -15.27748668
          0,           0,         285,      -14.40987026,      -14.84477412,      -15.48770396,      -15.29876845
          0,           0,         286,      -14.43203141,      -14.86702217,       -15.5097456,       -15.3204487
          0,           0,         287,      -14.45412751,      -14.88923141,      -15.53181889,      -15.34416855
          0,           0,         288,      -14.47633137,      -14.91117157,      -15.55416712,      -15.36435709
          0,           0,         289,       -14.4984366,      -14.93356263,      -15.57606739,      -15.38792644
          0,           0,         290,      -14.52058553,       -14.9555369,      -15.59839115,      -15.40983298
          0,           0,         291,      -14.54276485,      -14.97770183,      -15.62051247,      -15.43091233
          0,           0,         292,      -14.56485577,      -14.99998641,      -15.64251534,      -15.45493075
          0,           0,         293,      -14.58705407,      -15.02189576,      -15.66489602,      -15.47526454
          0,           0,         294,      -14.60917672,      -15.04426419,      -15.68681774,       -15.4983183
          0,           0,         295,      -14.63130709,       -15.0663075,      -15.70906658,      -15.52087596
          0,           0,         296,      -14.65350254,      -15.08838864,      -15.73127352,      -15.54148087
          0,           0,         297,      -14.67558992,      -15.11074481,      -15.75322742,      -15.56558155
          0,           0,         298,      -14.69777812,      -15.13263409,      -15.77563394,      -15.58626351
          0,           0,         299,      -14.71991846,      -15.15495897,      -15.79760399,      -15.60869907
          0,           0,         300,      -14.74203157,      -15.17708181,      -15.81977128,      -15.63186292
          0,           0,         301,      -14.76423444,      -15.19908679,      -15.84204389,      -15.65215399
          0,           0,         302,      -14.78632583,      -15.22147546,      -15.86395053,      -15.67613048
          0,           0,         303,      -14.80849691,       -15.2433899,       -15.8863159,      -15.69731498
          0,           0,         304,      -14.83065972,      -15.26565151,      -15.90835334,      -15.71910435
          0,           0,         305,      -14.85275993,      -15.28784666,      -15.93045384,       -15.7427569
          0,           0,         306,      -14.87496709,      -15.30980321,      -15.95278767,      -15.76294567
          0,           0,         307,      -14.89707071,      -15.33219091,      -15.97471622,      -15.78659564
          0,           0,         308,      -14.91922543,      -15.35416291,      -15.99702533,      -15.80838717
          0,           0,         309,      -14.94140493,      -15.37634252,       -16.0191542,      -15.82957727
          0,           0,         310,      -14.96349789,      -15.39862136,      -16.04118336,      -15.85355475
          0,           0,         311,      -14.98570033,      -15.42052325,      -16.06351968,      -15.87385496
          0,           0,         312,      -15.00782058,      -15.44291297,      -16.08544458,      -15.89700673
          0,           0,         313,      -15.02996046,      -15.46492842,      -16.10772412,      -15.91946185
          0,           0,         314,      -15.05215144,      -15.48704785,      -16.12988955,      -15.94013595
          0,           0,         315,      -15.07424143,      -15.50936487,      -16.15188542,      -15.96423454
          0,           0,         316,      -15.09643466,      -15.53127137,      -16.17428086,      -15.98484303
