"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         255,      -7.234202456,      -3.354549216,      -4.883085968,      -1.658699079
          0,           0,         256,      -7.244724007,      -3.355073648,       -4.86947829,      -1.658331428
          0,           0,         257,      -7.253846991,      -3.355725868,      -4.888517091,      -1.662306501
          0,           0,         258,      -7.101716372,       -3.35760485,      -4.733636933,      -1.572903571
          0,           0,         259,      -7.232093919,      -3.358033516,      -4.870933694,      -1.658656655
          0,           0,         260,      -7.244392755,       -3.35854883,       -4.86408436,      -1.659104146
          0,           0,         261,      -7.256642418,      -3.359203114,       -4.89114022,      -1.665113061
          0,           0,         262,      -7.267607183,      -3.359922008,      -4.917764985,      -1.672879053
          0,           0,         263,       -7.10657357,      -3.361816557,      -4.741582896,      -1.578573667
          0,           0,         264,      -6.861412258,      -3.365394577,      -4.475124246,      -1.375151382
          0,           0,         265,      -7.164842481,      -3.365117231,      -4.774082333,      -1.622295771
          0,           0,         266,      -7.215626939,      -3.365241016,      -4.802848196,      -1.638181803
          0,           0,         267,      -7.259325546,      -3.365855887,      -4.893160042,      -1.663333215
          0,           0,         268,      -7.291579587,      -3.366665655,      -4.973830934,      -1.688102553
          0,           0,         269,      -7.126947119,      -3.368659517,      -4.785276727,      -1.598619123
          0,           0,         270,      -7.239082927,      -3.369103146,      -4.879670851,      -1.672041375
          0,           0,         271,      -7.246392335,      -3.369591447,      -4.861089364,      -1.668246166
          0,           0,         272,      -7.262551343,      -3.370203548,      -4.897546218,      -1.675184321
          0,           0,         273,      -7.280750695,      -3.370892489,      -4.945108728,        -1.6862335
          0,           0,         274,      -7.130725968,      -3.372778413,      -4.792452793,      -1.601233738
          0,           0,         275,      -7.256620679,      -3.373209477,      -4.925117625,      -1.682984148
          0,           0,         276,      -7.268898941,      -3.373721323,       -4.91462985,      -1.683238403
          0,           0,         277,      -7.281185867,      -3.374364175,       -4.94542878,      -1.689051555
          0,           0,         278,      -7.292884792,      -3.375069679,      -4.978765029,      -1.697006933
          0,           0,         279,      -7.134220336,      -3.376943542,      -4.798436507,      -1.605875261
          0,           0,         280,      -7.262189597,      -3.377362294,      -4.937374642,      -1.688822837
          0,           0,         281,      -7.276200014,      -3.377864545,      -4.931071554,      -1.689656123
          0,           0,         282,      -7.289831145,      -3.378503987,      -4.967362311,      -1.696139278
          0,           0,         283,      -7.301791366,      -3.379210754,       -5.00348544,      -1.704388974
          0,           0,         284,      -7.141009342,      -3.381085276,      -4.811473908,      -1.612687848
          0,           0,         285,      -7.267819703,      -3.381505968,      -4.948688068,      -1.694770164
          0,           0,         286,      -7.281134014,      -3.382007675,      -4.939477006,      -1.695149867
          0,           0,         287,       -7.29371347,      -3.382643853,      -4.973070515,      -1.700971197
          0,           0,         288,      -7.304887643,      -3.383346668,      -5.006822349,      -1.708716235
          0,           0,         289,      -7.142045943,      -3.385215803,      -4.807718996,      -1.614945092
          0,           0,         290,      -7.270096546,      -3.385634944,       -4.94868543,      -1.698389357
          0,           0,         291,       -7.28395545,      -3.386135131,      -4.941115693,      -1.699152244
          0,           0,         292,      -7.296393369,      -3.386769677,      -4.974224422,      -1.704973558
          0,           0,         293,      -7.307317886,      -3.387470668,      -5.007173472,      -1.712654239
          0,           0,         294,      -7.309595735,      -3.388192722,      -5.014242164,      -1.716024872
          0,           0,         295,      -7.136690542,      -3.390042222,      -4.788567318,      -1.612781357
          0,           0,         296,      -7.269959328,      -3.390441853,      -4.941801316,      -1.700735116
          0,           0,         297,      -7.287513491,      -3.390929057,      -4.945148417,       -1.70346521
          0,           0,         298,      -7.302520573,      -3.391561387,      -4.986501812,      -1.710904133
          0,           0,         299,      -7.314431289,      -3.392265893,      -5.024111802,      -1.719507382
          0,           0,         300,      -7.316513516,      -3.392991549,      -5.031047132,       -1.72311857
          0,           0,         301,       -7.31226336,      -3.393708255,      -5.016739608,      -1.722385524
          0,           0,         302,      -7.307626288,      -3.394404289,      -5.001397903,      -1.720303238
          0,           0,         303,      -7.306084897,      -3.395083876,      -4.995982238,      -1.719288844
          0,           0,         304,       -7.30787255,      -3.395758124,       -5.00109084,      -1.720083232
          0,           0,         305,      -7.311341601,      -3.396436059,      -5.011848008,      -1.722121743
          0,           0,         306,      -7.314656225,      -3.397120775,      -5.022392707,       -1.72443816
          0,           0,         307,       -7.31679117,      -3.397810398,        -5.0289979,      -1.726319622
          0,           0,         308,      -7.317678386,      -3.398501157,      -5.031176291,      -1.727526519
          0,           0,         309,      -7.317842211,      -3.399190088,      -5.030725181,      -1.728211813
          0,           0,         310,      -7.317912976,      -3.399876205,      -5.029898981,      -1.728699466
          0,           0,         311,      -7.318281517,      -3.400560192,      -5.030084624,       -1.72926262
          0,           0,         312,      -7.319003511,      -3.401243392,      -5.031476333,       -1.73000903
          0,           0,         313,      -7.319906884,      -3.401926872,      -5.033468762,      -1.730894541
          0,           0,         314,      -7.320769056,      -3.402610998,      -5.035274646,      -1.731806982
          0,           0,         315,      -7.321448203,      -3.403295531,      -5.036391616,      -1.732649329
          0,           0,         316,      -7.321924146,      -3.403979973,      -5.036757188,      -1.733382799
          0,           0,         317,      -7.322266343,      -3.404663912,      -5.036634194,      -1.734026259
          0,           0,         318,      -7.322572673,      -3.405347185,      -5.036384499,       -1.73462911
          0,           0,         319,      -7.322918577,      -3.406029858,      -5.036284085,      -1.735240056
          0,           0,         320,      -7.323336049,      -3.406712103,      -5.036450926,      -1.735887843
          0,           0,         321,      -7.323820534,       -3.40739407,      -5.036873217,       -1.73657845
          0,           0,         322,      -7.324351411,      -3.408075824,      -5.037483242,      -1.737303608
          0,           0,         323,       -7.32491091,      -3.408757345,      -5.038223586,      -1.738052095
          0,           0,         324,      -7.158063079,      -3.410561434,      -4.819612008,      -1.636658746
          0,           0,         325,      -7.294719808,      -3.410950759,      -4.989470697,      -1.727254942
